BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,ZIP,BOROUGH,PRICE_PER_SQFT,LUXURY
pantiga  inc,265000,1,1.0,750.0,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,unknown,co op,10473,Bronx,353.3333333333333,False
coldwell banker,350000,1,1.0,700.0,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,unknown,co op,10471,Bronx,500.0,False
martino,349900,1,1.0,651.0,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,unknown,condo,10304,Staten Island,537.4807987711214,False
nest seekers  long island,325000,1,1.0,2184.207862,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,unknown,co op,11372,Queens,148.79536222455002,False
du chris,230000,1,1.0,2184.207862,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,unknown,co op,11372,Manhattan,105.30133326660463,False
h p greenfield real estate ltd,279000,1,1.0,750.0,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,unknown,co op,11230,Brooklyn,372.0,False
ashford homes,528000,1,1.0,602.0,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,unknown,condo,11219,Brooklyn,877.0764119601329,False
e  corp,275000,1,1.0,2184.207862,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,unknown,co op,11355,Queens,125.90376803615771,False
corcoran,1165000,1,1.0,815.0,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,unknown,condo,11249,Brooklyn,1429.4478527607362,False
brown harris stevens,199900,1,1.0,2184.207862,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625,unknown,co op,10451,Bronx,91.52059356519246,False
brown harris stevens,849000,1,1.0,2184.207862,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328,unknown,co op,10023,Manhattan,388.69926931890143,False
piastro,559500,1,1.0,800.0,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,unknown,co op,11235,Brooklyn,699.375,False
douglas elliman,750000,1,1.0,835.0,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,unknown,co op,10065,Manhattan,898.2035928143713,False
monticello real estate,198000,1,1.0,2184.207862,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466,unknown,co op,11421,Queens,90.65071298603355,False
engel volkers brownstone brooklyn,215000,1,1.0,625.0,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538,unknown,condo,10012,Manhattan,344.0,False
built by toll brothers,950000,1,1.0,621.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,for sale,other,10025,Manhattan,1529.790660225443,False
brown harris stevens,280000,1,1.0,1000.0,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,unknown,co op,11209,Brooklyn,280.0,False
compass,499000,1,1.0,630.0,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161,unknown,condo,10021,Manhattan,792.063492063492,False
hot homes,90000,1,1.0,660.0,"16 Mapleton Ave, Staten Island, NY 10306, USA",40.574451,-74.0929448,pending,other,10306,Manhattan,136.36363636363637,False
re/max,90000,1,1.0,450.0,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444,unknown,co op,10452,Bronx,200.0,False
corcoran,550000,1,1.0,2184.207862,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091,unknown,co op,10024,Manhattan,251.80753607231543,False
j milo real estate,198000,1,1.0,750.0,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433,unknown,condo,11415,Queens,264.0,False
compass,2250000,1,1.0,2184.207862,"302 W 12th St APT 7A, New York, NY 10014, USA",40.737308,-74.0046666,unknown,condo,10014,Manhattan,1030.121738477654,True
sotheby's,269000,1,1.0,2184.207862,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471,unknown,co op,10471,Bronx,123.15677673355063,False
compass,399000,1,1.0,2184.207862,"34-41 85th St #3a, Flushing, NY 11372, USA",40.7531191,-73.8818757,unknown,co op,11372,Queens,182.67492162337064,False
nexthome rential,265000,1,1.0,700.0,"2345 Bell Blvd Apt 5f, Bayside, NY 11360, USA",40.7824499,-73.7765099,unknown,co op,11360,Queens,378.57142857142856,False
maximillion inc,288000,1,1.0,845.0,"3901 Nostrand Ave. #4c, Brooklyn, NY 11235, USA",40.5894827,-73.9395372,unknown,co op,11235,Brooklyn,340.8284023668639,False
corcoran,925000,1,1.0,1000.0,"235 E 73rd St #4b, New York, NY 10021, USA",40.7699425,-73.9583558,unknown,co op,10021,Manhattan,925.0,False
platinum  of long island,329000,1,1.0,820.0,"11139 76th Rd Apt E6, Forest Hills, NY 11375, USA",40.7157399,-73.83672,unknown,co op,11375,Queens,401.219512195122,False
prime  long island,299000,1,1.0,2184.207862,"118-18 Union Tpke #17g, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305,unknown,co op,11415,Queens,136.89173324658603,False
re/max,200000,1,1.0,613.0,"1700 Metropolitan Ave, Bronx, NY 10462, USA",40.840459,-73.8542045,unknown,condo,10462,Manhattan,326.2642740619902,False
besmatch real estate,69000,1,1.0,850.0,"1185 Anderson Ave #2e, Bronx, NY 10452, USA",40.8366623,-73.9239586,unknown,co op,10452,Bronx,81.17647058823529,False
compass,230000,1,1.0,620.0,"255 W 108th St #1b, New York, NY 10025, USA",40.8028416,-73.9670229,unknown,co op,10025,Manhattan,370.96774193548384,False
crifasi real estate inc,220000,1,1.0,590.0,"82-35 134th St #2d, Jamaica, NY 11435, USA",40.7130136,-73.8230375,unknown,co op,11435,Queens,372.8813559322034,False
corcoran,475000,1,1.0,615.0,"520 E 90th St #1b, New York, NY 10128, USA",40.7779975,-73.9445342,unknown,co op,10128,Manhattan,772.3577235772358,False
keller williams,229000,1,1.0,2184.207862,"33-05 92nd St #1b, Jackson Heights, NY 11372, USA",40.7562792,-73.8758052,unknown,co op,11372,Queens,104.84350138283679,False
voro,328000,1,1.0,800.0,"8330 Vietor Ave Apartment 414, Flushing, NY 11373, USA",40.743059,-73.880983,unknown,co op,11373,Queens,410.0,False
sbny re,199000,1,1.0,2184.207862,"6738 108th St Apt D5, Forest Hills, NY 11375, USA",40.7282899,-73.8472,unknown,co op,11375,Queens,91.10854486980139,False
