BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,segment,BOROUGH,ZIP
douglas elliman,315000,2,2.0,1400.0,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,unknown,condo,Normal,Manhattan,10022
serhant,195000000,7,10.0,17545.0,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,unknown,condo,Luxury,Manhattan,10019
sowae corp,260000,4,2.0,2015.0,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,unknown,house,Normal,Manhattan,10312
compass,69000,3,1.0,445.0,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,unknown,condo,Outlier,Manhattan,10022
sotheby's,55000000,7,2.3738608579684373,14175.0,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,unknown,townhouse,Luxury,Manhattan,10065
sowae corp,690000,5,2.0,4004.0,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,unknown,house,Outlier,Manhattan,11238
connie profaci,16800000,8,16.0,33000.0,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,unknown,house,Error,Manhattan,10304
pantiga  inc,265000,1,1.0,750.0,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,unknown,co op,Normal,Bronx,10473
century 21 mk,440000,2,1.0,978.0,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,unknown,co op,Normal,Brooklyn,11230
engel volkers americas,375000,2,1.0,850.0,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,unknown,co op,Normal,Bronx,10451
re/max,689000,3,2.3738608579684373,1162.0,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,unknown,townhouse,Normal,Manhattan,10303
awaye,549000,2,2.0,1000.0,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,unknown,condo,Normal,Staten Island,10312
realty executives today,975000,3,2.0,1734.0,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,unknown,townhouse,Normal,Manhattan,11377
dorsa,199000,3,1.0,325.0,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,unknown,co op,Normal,Brooklyn,11209
coldwell banker,350000,1,1.0,700.0,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,unknown,co op,Normal,Bronx,10471
keller williams,599000,2,2.0,974.0,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,unknown,condo,Normal,Queens,11374
radiant estates,639999,3,2.0,1260.0,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,unknown,house,Normal,Manhattan,10301
apaus inc,1300000,2,2.0,1244.0,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,unknown,condo,Normal,Queens,11375
keller williams,1100000,6,3.0,2837.0,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,unknown,multi family home,Normal,Manhattan,10465
martino,349900,1,1.0,651.0,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,unknown,condo,Normal,Staten Island,10304
elizabeth marra,750000,2,2.0,1330.0,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,unknown,house,Normal,Manhattan,10307
century 21 milestone,1690000,6,4.0,2200.0,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,unknown,multi family home,Normal,Manhattan,11435
ashford homes,1299888,10,6.0,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,unknown,multi family home,Normal,Staten Island,10304
nobroker,925000,5,2.0,2750.0,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,unknown,multi family home,Normal,Manhattan,10465
get listed get sold nyc,329000,1,2.0,794.0,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,unknown,condo,Normal,Manhattan,10314
rjm empire inc,1300000,10,8.0,5040.0,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,unknown,multi family home,Outlier,Staten Island,10303
re/max,848000,5,4.0,2080.0,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,unknown,multi family home,Normal,Manhattan,11207
h p greenfield real estate ltd,279000,1,1.0,750.0,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,unknown,co op,Normal,Brooklyn,11230
ashford homes,528000,1,1.0,602.0,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,unknown,condo,Normal,Brooklyn,11219
ashford homes,1299888,11,4.0,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,unknown,multi family home,Normal,Staten Island,10304
corcoran,1165000,1,1.0,815.0,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,unknown,condo,Normal,Brooklyn,11249
staten island homes corp,1199000,6,5.0,3290.0,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,unknown,multi family home,Normal,Manhattan,10307
exp,700000,6,2.0,3053.0,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,unknown,multi family home,Normal,Manhattan,10453
century 21 first,2150000,8,4.0,3200.0,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,unknown,multi family home,Normal,Manhattan,11204
e  corp,1280000,7,5.0,2460.0,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,unknown,multi family home,Normal,Manhattan,11421
