BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
douglas elliman,condo,315000,2,2,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,130.0642,Manhattan,False,2.1141577740250477,2421.8808865160436
serhant,condo,195000000,7,10,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,1629.983135,Manhattan,True,3.2121831108982346,119633.13963981597
sowae corp,house,260000,4,2,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,187.199545,Staten Island,False,2.272304788823938,1388.8922646686988
compass,condo,69000,3,1,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,41.341835,Manhattan,False,1.6163897493277413,1669.0115472619925
sotheby's,townhouse,55000000,7,2,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,1316.900025,Manhattan,True,3.119552805911754,41764.74975767428
sowae corp,house,690000,5,2,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,371.983612,Brooklyn,False,2.570523807154091,1854.9204259030637
douglas elliman,condo,899500,2,2,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,202.91946300338603,Manhattan,False,2.307323704350202,4432.793122387627
connie profaci,house,16800000,8,16,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,3065.799,Staten Island,True,3.486543678224697,5479.811298783776
pantiga  inc,co op,265000,1,1,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,69.67725,Bronx,False,1.8430910017385096,3803.2499847511203
century 21 mk,co op,440000,2,1,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,90.859134,Brooklyn,False,1.958368593134411,4842.661168221128
engel volkers americas,co op,375000,2,1,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,78.96755,Bronx,False,1.8974486640611024,4748.786051992242
re/max,townhouse,689000,3,2,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,107.953286,Staten Island,False,2.0332358664011214,6382.3902497974905
compass,co op,259000,3,1,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,202.91946300338603,Queens,False,2.307323704350202,1276.3684476913788
jamie connie real estate grp,co op,430000,2,2,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,202.91946300338603,Queens,False,2.307323704350202,2119.067306977965
corcoran,co op,895000,3,1,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,202.91946300338603,Manhattan,False,2.307323704350202,4410.616836616927
awaye,condo,549000,2,2,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,92.903,Staten Island,False,1.9680297383468097,5909.389363099146
realty executives today,townhouse,975000,3,2,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,161.093802,Queens,False,2.207078831487001,6052.374379990112
dorsa,co op,199000,3,1,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,30.193475,Brooklyn,False,1.479913099325684,6590.827985185541
coldwell banker,co op,350000,1,1,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,65.0321,Bronx,False,1.8131277783610664,5381.957525591208
keller williams,condo,599000,2,2,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,90.487522,Queens,False,1.9565886952254252,6619.697244002328
radiant estates,house,639999,3,2,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,117.05778,Staten Island,False,2.0684002834643724,5467.376880033092
apaus inc,condo,1300000,2,2,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,115.571332,Queens,False,2.0628501187016095,11248.464281782268
keller williams,multi family home,1100000,6,3,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,263.565811,Bronx,False,2.420889074142662,4173.530686041825
martino,condo,349900,1,1,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,60.479853,Staten Island,False,1.7816107269150014,5785.397659614021
elizabeth marra,house,750000,2,2,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,123.56099,Staten Island,False,2.0918813793138953,6069.876908561512
century 21 milestone,multi family home,1690000,6,4,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,204.3866,Queens,False,2.3104524191690157,8268.643834771947
nest seekers  long island,co op,325000,1,1,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,202.91946300338603,Queens,False,2.307323704350202,1601.6206389949734
century 21 first,multi family home,2250000,12,2,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399,526.76001,Manhattan,False,2.7216127972397164,4271.394861580324
du chris,co op,230000,1,1,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,202.91946300338603,Queens,False,2.307323704350202,1133.4546060579812
ashford homes,multi family home,1299888,10,6,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,293.201868,Staten Island,False,2.467166732884192,4433.423323210206
nobroker,multi family home,925000,5,2,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,255.48325,Bronx,False,2.4073624321770724,3620.5896081249944
get listed get sold nyc,condo,329000,1,2,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,73.764982,Staten Island,False,1.867850240773906,4460.110896522689
rjm empire inc,multi family home,1300000,10,8,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,468.23112,Staten Island,False,2.670460274792335,2776.406660027211
re/max,multi family home,848000,5,4,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,193.23824,Brooklyn,False,2.286093073309571,4388.365367020524
h p greenfield real estate ltd,co op,279000,1,1,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,69.67725,Brooklyn,False,1.8430910017385096,4004.1763990398586
ashford homes,condo,528000,1,1,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,55.927606,Brooklyn,False,1.747626229604634,9440.775991734745
ashford homes,multi family home,1299888,11,4,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,293.201868,Staten Island,False,2.467166732884192,4433.423323210206
e  corp,co op,275000,1,1,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,202.91946300338603,Queens,False,2.307323704350202,1355.2174637649775
corcoran,condo,1165000,1,1,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,75.715945,Brooklyn,False,1.8791873470867864,15386.455257211674
staten island homes corp,multi family home,1199000,6,5,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,305.65087,Staten Island,False,2.485225636296784,3922.776336281981
exp,multi family home,700000,6,2,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,283.632859,Bronx,False,2.4527565426454716,2467.979212521353
century 21 first,multi family home,2150000,8,4,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,297.2896,Brooklyn,False,2.4731797166667158,7232.005425013185
e  corp,multi family home,1280000,7,5,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,228.54138,Queens,False,2.358964845450189,5600.736286794103
brown harris stevens,co op,199900,1,1,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625,202.91946300338603,Bronx,False,2.307323704350202,985.1198945695237
winzone inc,co op,369000,2,1,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077,202.91946300338603,Queens,False,2.307323704350202,1818.4554331973698
prestige homes ny inc,multi family home,699000,4,3,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,147.808673,Queens,False,2.169699917993391,4729.08649954526
brown harris stevens,co op,4250000,3,2,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,222.9672,Manhattan,True,2.3482409800584154,19061.099569802194
weichert realtors tmt,multi family home,825000,2,2,"32-39 Jordan St, Flushing, NY 11358, USA",40.768457,-73.789417,202.91946300338603,Queens,False,2.307323704350202,4065.6523912949324
american homes,condo,329000,2,1,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344,77.759811,Staten Island,False,1.8907551963400695,4230.977361814833
wonica realtors appraisers,multi family home,889000,2,2,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917,141.21256,Staten Island,False,2.149873326291582,6295.474000329716
first class homes inc,multi family home,769000,2,2,"101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133,202.91946300338603,Queens,False,2.307323704350202,3789.680835037337
exp,multi family home,1200000,4,2,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526,235.602008,Brooklyn,False,2.372178987556505,5093.335197720386
vylla home,co op,220500,2,1,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983,83.6127,Staten Island,False,1.9222722477861345,2637.1591875396916
re/max,multi family home,1999000,3,3,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598,254.461317,Brooklyn,False,2.405621770600771,7855.810948270773
douglas elliman,co op,3250000,2,2,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266,120.7739,Manhattan,True,2.0819730906536464,26909.78762795604
douglas elliman,condo,1650000,2,2,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131,117.708101,Brooklyn,False,2.070806353230251,14017.726783307804
homes r us of ny inc,multi family home,1049000,4,4,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531,237.274262,Staten Island,False,2.375250631274206,4421.044200740154
american homes,house,998800,3,4,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996,222.9672,Staten Island,False,2.3482409800584154,4479.582647133749
american homes,house,998800,3,4,"Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085,222.9672,Manhattan,False,2.3482409800584154,4479.582647133749
brown harris stevens,co op,849000,1,1,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328,202.91946300338603,Manhattan,False,2.307323704350202,4183.925915405331
piastro,co op,559500,1,1,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,74.3224,Brooklyn,False,1.8711197253387533,7528.013088920702
douglas elliman,co op,750000,1,1,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,77.574005,Manhattan,False,1.8897162138304118,9668.187171720732
douglas elliman,condo,1900000,2,2,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438,95.597187,Manhattan,False,1.9804451131092426,19875.061804904362
corcoran,condo,1250000,2,2,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099,111.576503,Brooklyn,False,2.0475727457497155,11203.075615302265
compass,condo,1395000,2,2,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,109.811346,Brooklyn,False,2.0406472148920463,12703.605326903105
monticello real estate,co op,198000,1,1,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466,202.91946300338603,Queens,False,2.307323704350202,975.7565739107838
ashford homes,multi family home,1489000,6,2,"205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877,351.17334,Staten Island,False,2.545521538184035,4240.071299262068
sotheby's,townhouse,65000000,3,2,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167,1412.1256,Manhattan,True,3.149873326291582,46029.8998899248
serhant,condo,1595000,3,3,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444,131.271939,Brooklyn,False,2.1181719001953683,12150.349969310653
douglas elliman,condo,655000,3,2,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036,74.601109,Brooklyn,False,1.8727452836254905,8780.030334401597
serhant,condo,1175000,2,2,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444,103.586845,Brooklyn,False,2.015304605730989,11343.139179497166
e  corp,multi family home,2880000,9,2,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588,218.32205,Queens,False,2.3390976006185458,13191.521424427812
momentum real estate,multi family home,798000,3,4,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056,199.74145,Staten Island,False,2.300468198262415,3995.164749229567
apaus inc,land,1685000,3,2,"519 Fairview Ave, Ridgewood, NY 11385, USA",40.7083434,-73.9081614,202.91946300338603,Queens,False,2.307323704350202,8303.787005250862
corcoran,condo,31000000,3,4,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568,417.320276,Manhattan,True,2.62046948593623,74283.47430691338
dom inc,land,2550000,3,2,"234 Ocean View Ave, Brooklyn, NY 11235, USA",40.5785288,-73.9655666,202.91946300338603,Brooklyn,False,2.307323704350202,12566.561936729791
meyers enterprise,land,119000,3,2,"3652 De Reimer Ave, Bronx, NY 10466, USA",40.8841699,-73.8388387,202.91946300338603,Bronx,False,2.307323704350202,586.4395570473903
douglas elliman,condo,1650000,2,2,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,98.941695,Manhattan,False,1.995379346121566,16676.488107465717
compass,townhouse,12950000,5,4,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035,310.667632,Manhattan,True,2.4922960071137883,41684.41983038645
brown harris stevens,condo,5750000,3,2,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819,206.523369,Manhattan,True,2.3149692010458,27841.88553499725
sowae corp,multi family home,250000,5,2,"130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339,202.91946300338603,Queens,False,2.307323704350202,1232.0158761499795
keller williams,house,585000,3,2,"192 Colfax Ave, Staten Island, NY 10306, USA",40.5784263,-74.105437,102.1933,Staten Island,False,2.0094224235050344,5724.445731765194
brown harris stevens,house,8750000,6,6,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695,202.91946300338603,Brooklyn,True,2.307323704350202,43120.55566524928
tom marco real estate inc,house,595000,3,1,"1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226,122.260348,Brooklyn,False,2.0872856276247465,4866.663719949497
